id,latitude_mean,longitude_mean,is_outside,amphitheatre
5508,36.6883348,2.8666952,False,Amphi 5
8294,36.6883186,2.8661196,False,Amphi 8
3850,36.6883484,2.8664692,False,Amphi 6
856,36.688347,2.8665071,False,Amphi 2
409,36.6883447,2.8665017,False,Amphi 2
3124,36.6881991,2.8660122,True,Outside
6611,36.688395487855765,2.86619900914336,False,Amphi 4
8148,36.6883173,2.8661633,False,Amphi 8
1059,36.68845093386095,2.866513013432341,False,Amphi 2
4407,36.6883587,2.8666689,False,Amphi 5
1589,36.6883302,2.8664772,False,Amphi 2
1346,36.6883494,2.8664885,False,Amphi 2
2633,36.6883559,2.8665037,False,Amphi 2
5970,36.68838021412471,2.866216608127944,False,Amphi 3
4470,36.6883891,2.8666933,False,Amphi 5
3119,36.6881149,2.8660706,True,Outside
5603,36.6883503,2.8666791,False,Amphi 5
3315,36.6883715,2.8667335,False,Amphi 1
743,36.688347,2.8665016,False,Amphi 2
3874,36.6883484,2.8664692,False,Amphi 6
aug_204,36.68836852131937,2.866279481963424,False,Amphi 7
7854,36.6883125,2.8660487,False,Amphi 8
5546,36.6883467,2.8666915,False,Amphi 5
6116,36.6883889,2.8667436,False,Amphi 1
5114,36.6883389,2.8666613,False,Amphi 5
8286,36.6882902,2.8661275,False,Amphi 8
4343,36.68836882430219,2.866344364222276,False,Amphi 7
3918,36.6883519,2.8664799,False,Amphi 6
4082,36.6883468,2.8664727,False,Amphi 6
7631,36.6883459,2.8660679,False,Amphi 8
7915,36.6883188,2.8661488,False,Amphi 8
3641,36.6883437,2.8664797,False,Amphi 6
6786,36.6882897,2.8661158,False,Amphi 4
2944,36.6883527,2.8667645,True,Outside
4231,36.6883719,2.8666978,False,Amphi 5
2099,36.6883333,2.8665064,False,Amphi 2
4780,36.6883399,2.8664317,False,Amphi 2
809,36.688347,2.8665071,False,Amphi 2
4394,36.6883587,2.8666689,False,Amphi 5
1561,36.6883309,2.8664784,False,Amphi 2
7815,36.6883431,2.8660541,False,Amphi 8
6718,36.6883991011466,2.866079034199217,False,Amphi 4
4784,36.6883354,2.8664555,False,Amphi 2
6854,36.6882681,2.8661222,False,Amphi 4
1600,36.6883302,2.8664778,False,Amphi 2
4592,36.6883941,2.8666742,False,Amphi 5
967,36.6883572,2.8665013,False,Amphi 2
4466,36.6883891,2.8666933,False,Amphi 5
7675,36.6883416,2.866054,False,Amphi 8
1762,36.6883454,2.8664976,False,Amphi 2
7696,36.688346,2.866068,False,Amphi 8
5519,36.6883467,2.8666915,False,Amphi 5
4010,36.6883484,2.8664691,False,Amphi 6
741,36.688347,2.8665016,False,Amphi 2
2070,36.688348,2.8664917,False,Amphi 2
2484,36.6883416,2.8664882,False,Amphi 2
652,36.6883528,2.8665118,False,Amphi 2
857,36.688347,2.8665071,False,Amphi 2
4815,36.688337,2.8664909,False,Amphi 2
3858,36.6883484,2.8664692,False,Amphi 6
3508,36.6884204,2.8666715,False,Amphi 1
4125,36.6883874,2.8666889,False,Amphi 5
7833,36.6883431,2.8660541,False,Amphi 8
8182,36.68836682425519,2.866194639101239,False,Amphi 8
6268,36.6883386,2.8666935,False,Amphi 1
2294,36.6883497,2.8665226,False,Amphi 2
6553,36.6883024,2.8661325,False,Amphi 4
2502,36.6883491,2.8664958,False,Amphi 2
1735,36.688351,2.8665012,False,Amphi 2
2088,36.6883507,2.8664967,False,Amphi 2
8335,36.6883031,2.8661321,False,Amphi 8
6123,36.6883744,2.8667227,False,Amphi 1
1006,36.68840083931719,2.866549435842248,False,Amphi 2
3917,36.6883519,2.8664799,False,Amphi 6
5321,36.688353,2.8666904,False,Amphi 5
4167,36.6883196,2.8664462,False,Amphi 6
3969,36.6883257,2.8664658,False,Amphi 6
7080,36.6882665,2.8661239,False,Amphi 4
3561,36.68837603815323,2.866509599133765,False,Amphi 6
5080,36.6883667,2.8666908,False,Amphi 5
5530,36.6883467,2.8666915,False,Amphi 5
2288,36.6883497,2.8665123,False,Amphi 2
aug_257,36.688348711054,2.866268564145099,False,Amphi 7
3094,36.6882629,2.8662477,True,Outside
2145,36.6883464,2.8664896,False,Amphi 2
1752,36.688351,2.8665012,False,Amphi 2
7484,36.6883313,2.866063,False,Amphi 8
920,36.6883403,2.8664937,False,Amphi 2
6499,36.6883024,2.8661325,False,Amphi 4
1029,36.6883316,2.8664814,False,Amphi 2
5344,36.688351,2.8666895,False,Amphi 5
3123,36.6882016,2.866015,True,Outside
3368,36.6883715,2.8667335,False,Amphi 1
3932,36.6883494,2.8664802,False,Amphi 6
6539,36.6883024,2.8661325,False,Amphi 4
aug_152,36.688346874883074,2.866291411905806,False,Amphi 7
3635,36.6883313,2.8664737,False,Amphi 6
8656,36.688328,2.8664708,False,Amphi 6
1103,36.68841419459402,2.866503343251521,False,Amphi 2
5359,36.6883542,2.8667003,False,Amphi 5
2786,36.6884732,2.8666389,True,Outside
4641,36.688399,2.8666821,False,Amphi 5
2295,36.6883497,2.8665226,False,Amphi 2
1262,36.6883368,2.8664684,False,Amphi 2
2531,36.6883416,2.8664882,False,Amphi 2
1514,36.6883449,2.8665019,False,Amphi 2
1400,36.6883424,2.8664791,False,Amphi 2
8589,36.6882090080616,2.86689204782154,False,Amphi 5
3683,36.6883415,2.8667034,False,Amphi 5
5230,36.688348,2.8666909,False,Amphi 5
6802,36.6882902,2.8661126,False,Amphi 4
663,36.6883528,2.8665118,False,Amphi 2
aug_145,36.68830689196995,2.866212951202531,False,Amphi 7
1717,36.6883466,2.8664926,False,Amphi 2
3660,36.6883415,2.8667034,False,Amphi 5
7752,36.6883431,2.8660541,False,Amphi 8
4214,36.6883446,2.8664696,False,Amphi 6
1900,36.6883365,2.8664571,False,Amphi 2
572,36.6883486,2.8665164,False,Amphi 2
8074,36.6883298,2.8661221,False,Amphi 8
6462,36.688395918444144,2.8660815110851674,False,Amphi 4
2857,36.6882937,2.8660391,True,Outside
6708,36.6882809,2.8661133,False,Amphi 4
1830,36.6883613,2.866505,False,Amphi 2
958,36.6883606,2.8664982,False,Amphi 2
6059,36.68836337554044,2.8662162949121512,False,Amphi 3
2047,36.6884152608867,2.866504133050732,False,Amphi 2
6165,36.6883845,2.866719,False,Amphi 1
7518,36.6883313,2.866063,False,Amphi 8
8491,36.6884058,2.8664471,False,Amphi 6
911,36.6883403,2.8664937,False,Amphi 2
1922,36.6883365,2.8664571,False,Amphi 2
aug_88,36.68830603666501,2.8662238684139627,False,Amphi 7
6527,36.6883024,2.8661325,False,Amphi 4
aug_86,36.6883461799506,2.8662731139301822,False,Amphi 7
3818,36.6883601,2.8664819,False,Amphi 6
4826,36.688337,2.8664909,False,Amphi 2
1241,36.6883416,2.8664821,False,Amphi 2
7317,36.688354371816416,2.8662137682404354,True,Outside
946,36.6883606,2.8664982,False,Amphi 2
8484,36.6883898,2.8667183,False,Amphi 5
2787,36.6884732,2.8666342,True,Outside
1364,36.6883494,2.8664885,False,Amphi 2
8664,36.6883452,2.8667366,False,Amphi 5
4633,36.6883941,2.8666742,False,Amphi 5
3975,36.6883491,2.8664668,False,Amphi 6
2196,36.688341,2.8664865,False,Amphi 2
8106,36.6883242,2.8661186,False,Amphi 8
1739,36.6883454,2.8664976,False,Amphi 2
415,36.6883447,2.8665017,False,Amphi 2
6547,36.6883011,2.8661289,False,Amphi 4
778,36.688347,2.8665016,False,Amphi 2
6128,36.6883657,2.8667196,False,Amphi 1
832,36.6883472,2.866502,False,Amphi 2
4264,36.6883719,2.8666978,False,Amphi 5
1072,36.68841811268256,2.86649960322462,False,Amphi 2
7227,36.6883838,2.8662341,False,Amphi 3
533,36.6883256,2.8664661,False,Amphi 2
2290,36.6883497,2.8665123,False,Amphi 2
8200,36.6883143,2.8661953,False,Amphi 8
2803,36.6884466,2.8663954,True,Outside
824,36.6883493,2.8665121,False,Amphi 2
3792,36.6883688,2.8664602,False,Amphi 6
8467,36.688373,2.8667398,False,Amphi 5
3944,36.6883519,2.8664799,False,Amphi 6
520,36.6883256,2.8664661,False,Amphi 2
1838,36.6883613,2.866505,False,Amphi 2
aug_73,36.68836569296404,2.8662969513433376,False,Amphi 7
3468,36.68839294650033,2.8665006251864007,False,Amphi 6
1546,36.6883302,2.8664772,False,Amphi 2
1772,36.6883424,2.866488,False,Amphi 2
2073,36.688348,2.8664917,False,Amphi 2
496,36.6883472,2.866515,False,Amphi 2
7689,36.6883416,2.866054,False,Amphi 8
3382,36.68839817322164,2.8664416873307217,False,Amphi 6
362,36.6883316,2.8664785,False,Amphi 2
6572,36.68839254833338,2.8661794643218976,False,Amphi 4
1700,36.6883434,2.8664871,False,Amphi 2
5667,36.6883549,2.8666948,False,Amphi 5
8203,36.6883143,2.8661953,False,Amphi 8
1380,36.6883494,2.8664885,False,Amphi 2
7204,36.6883838,2.8662341,False,Amphi 3
4572,36.6883941,2.8666742,False,Amphi 5
5154,36.6883433,2.8666998,False,Amphi 5
6468,36.68838831264379,2.866192032666526,False,Amphi 4
2847,36.6883055,2.8660614,True,Outside
1633,36.688344,2.8664856,False,Amphi 2
4071,36.6883492,2.8664677,False,Amphi 6
2640,36.6883559,2.8665037,False,Amphi 2
7736,36.6883131,2.8660591,False,Amphi 8
2081,36.688348,2.8664917,False,Amphi 2
1282,36.6883493,2.8664922,False,Amphi 2
6474,36.6882807,2.8661139,False,Amphi 4
4774,36.6883354,2.8664555,False,Amphi 2
2018,36.68842773050232,2.8665058796899827,False,Amphi 2
3139,36.688129,2.8659766,True,Outside
8311,36.6883186,2.8661196,False,Amphi 8
2181,36.68841442267915,2.866503429993013,False,Amphi 2
8194,36.6883143,2.8661953,False,Amphi 8
4166,36.6883196,2.8664462,False,Amphi 6
7478,36.6883437,2.8660616,False,Amphi 8
841,36.688347,2.8665071,False,Amphi 2
7423,36.688317,2.8660527,False,Amphi 8
842,36.688347,2.8665071,False,Amphi 2
5506,36.6883414,2.8666967,False,Amphi 5
3712,36.6883512,2.8666995,False,Amphi 5
8509,36.688417,2.8667025,False,Amphi 5
644,36.6883528,2.8665118,False,Amphi 2
932,36.6883445,2.8664949,False,Amphi 2
6548,36.6883011,2.8661289,False,Amphi 4
7699,36.6883416,2.866054,False,Amphi 8
2506,36.6883416,2.8664882,False,Amphi 2
8154,36.6883111,2.8661631,False,Amphi 8
4654,36.6883361,2.8664785,False,Amphi 2
aug_177,36.68836048093345,2.866294471367679,False,Amphi 7
873,36.6883403,2.8664937,False,Amphi 2
2569,36.6883537,2.8664949,False,Amphi 2
3259,36.6884481,2.8666786,True,Outside
8370,36.6883031,2.8661321,False,Amphi 8
3694,36.6883469,2.8667016,False,Amphi 5
6511,36.6882807,2.8661139,False,Amphi 4
6631,36.6883054,2.866126,False,Amphi 4
5726,36.6883451,2.8667282,False,Amphi 5
5780,36.6883581,2.8666901,False,Amphi 5
2289,36.6883497,2.8665123,False,Amphi 2
6497,36.6882807,2.8661139,False,Amphi 4
2150,36.6883464,2.8664896,False,Amphi 2
